client_id,full_name,jurisdiction,date_of_birth,onboarding_date,client_tier,investable_aum_usd,primary_currency,product_mandate_type,risk_appetite,shariah_compliant_flag,relationship_tenure_months,assigned_rm,co_investment_eligible_flag,last_rebalancing_date,annual_income_usd,total_debt_usd,is_active,exit_date
1,Carla Ramos,Singapore,1984-02-19,2025-08-03,HNW,2100117.27,SGD,Discretionary,Moderate,False,5,Sofia Lim,False,,123093.9,379292.98,True,
2,Kevin Martinez,Singapore,1950-03-23,2021-02-13,VHNW,22533124.34,SGD,Discretionary,Moderate,False,59,Chen Jing,False,2025-05-26,1085574.32,2568284.73,True,
3,Levi Juarez,China,1974-02-18,2019-05-27,HNW,2058083.47,CNY,Discretionary,Moderate,False,80,Isabella Cruz,False,2023-06-16,113983.02,42945.09,True,
4,Lacey Morales,Indonesia,1967-08-21,2022-04-06,VHNW,29630538.02,IDR,Execution-Only,Aggressive,False,45,Priya Menon,False,2025-11-23,2629131.87,1521279.07,True,
5,Miss Jennifer Vasquez,Indonesia,1964-11-11,2024-03-31,HNW,2517821.77,IDR,Execution-Only,Moderate,True,21,Chen Jing,False,2024-05-02,181517.79,49995.33,True,
6,David Lewis,Macau,1979-03-09,2025-03-18,VHNW,22947856.77,USD,Discretionary,Moderate,False,9,Isabella Cruz,True,2025-10-23,1651145.12,1509882.41,True,
7,Nathaniel Williams,Brunei,1960-11-14,2025-01-14,VHNW,7272735.3,BND,Discretionary,Conservative,False,11,Rajan Pillai,False,2025-05-22,791727.25,25049.53,True,
8,Jorge Roberts,Indonesia,1968-07-06,2019-04-02,VHNW,18424258.26,IDR,Discretionary,Moderate,True,82,Wei Zhang,True,2024-11-11,1485262.99,588162.14,True,
9,Erica Cobb,Singapore,1984-09-01,2019-10-24,VHNW,17691572.05,SGD,Discretionary,Moderate,False,75,Chen Jing,True,,1951340.6,4414041.19,True,
10,Joseph Hall,China,1954-09-25,2023-06-14,HNW,4512038.4,CNY,Execution-Only,Conservative,False,31,Wei Zhang,False,2024-12-27,276157.19,1180935.41,True,
11,Mariah King,Singapore,1975-11-21,2021-06-30,HNW,3157184.36,SGD,Advisory,Conservative,False,54,Priya Menon,False,2024-01-10,188902.07,60642.47,True,
12,Carly Santana,China,1964-02-02,2018-08-30,VHNW,19711002.86,CNY,Discretionary,Moderate,False,89,Sofia Lim,False,2024-02-08,1638747.44,4277401.35,True,
13,Jasmine Fry,Macau,1956-11-14,2019-01-22,VHNW,11074931.06,USD,Advisory,Moderate,False,84,Priya Menon,True,2019-08-31,496699.74,2419474.59,True,
14,Michael Mcfarland,Indonesia,1967-08-08,2020-01-22,HNW,1766360.29,IDR,Advisory,Conservative,False,72,James Tan,False,2021-02-26,162808.24,286461.92,True,
15,Natasha Wood,China,1963-07-02,2023-05-26,HNW,4014262.02,CNY,Discretionary,Moderate,False,31,David Ng,False,,245738.05,944239.45,True,
16,Philip Flores,Singapore,1959-04-10,2023-06-17,HNW,4829270.56,SGD,Execution-Only,Moderate,False,30,Rajan Pillai,False,,216721.27,454344.74,True,
17,Erin Kelly,China,1955-03-03,2023-09-12,HNW,4677548.52,CNY,Advisory,Conservative,False,28,David Ng,False,2024-05-09,231963.98,1249308.63,True,
18,Ashley Rogers MD,China,1970-05-07,2023-11-12,VHNW,20484537.76,CNY,Discretionary,Moderate,False,26,Ahmad Rizal,False,2024-03-25,1568664.23,5709153.33,True,
19,Chad Price,Macau,1963-09-09,2024-01-12,HNW,3484637.02,USD,Advisory,Conservative,False,23,Sofia Lim,False,2024-03-22,242398.9,164907.14,True,
20,Marcus Martin,Indonesia,1985-05-22,2018-02-02,VHNW,20291944.14,IDR,Execution-Only,Moderate,False,96,Wei Zhang,True,2024-04-17,1253795.74,3681951.92,True,
21,Johnny Edwards,Indonesia,1955-11-14,2018-07-28,HNW,3536951.84,IDR,Discretionary,Moderate,False,90,Ahmad Rizal,False,2020-01-14,187198.69,468825.28,True,
22,Mrs. Barbara Oliver,Indonesia,1984-01-27,2019-09-03,VHNW,7796847.01,IDR,Execution-Only,Moderate,False,77,Chen Jing,True,,872611.57,1862173.14,True,
23,Stephanie Ramos,Macau,1976-10-24,2024-04-12,UHNW,65713011.52,USD,Discretionary,Conservative,False,20,David Ng,True,2024-10-10,2758823.38,14520560.89,True,
24,Christopher Long,China,1960-12-04,2020-12-28,UHNW,166379973.62,CNY,Execution-Only,Aggressive,False,60,Mei Lin,False,2022-02-09,11309291.7,40956246.43,True,
25,Leah Reed,Macau,1967-06-21,2018-10-12,HNW,3640132.73,USD,Discretionary,Conservative,False,87,Chen Jing,False,2024-10-16,419121.14,125957.79,True,
26,Jenna Sullivan,Brunei,1972-12-26,2022-11-15,HNW,4850137.26,BND,Discretionary,Conservative,True,38,Isabella Cruz,False,2025-01-11,267758.14,64584.23,True,
27,Brian Murphy,Singapore,1962-06-14,2025-07-09,VHNW,25162771.74,SGD,Advisory,Aggressive,False,5,Priya Menon,True,2025-12-25,2455391.85,2267082.21,False,2025-12-26
28,Lisa Burns,China,1974-11-24,2022-09-19,HNW,2609601.55,CNY,Discretionary,Conservative,False,39,David Ng,False,2024-05-27,218775.89,317.8,True,
29,Debra Bernard,China,1963-09-16,2022-12-17,HNW,3319939.12,CNY,Advisory,Moderate,False,37,Priya Menon,False,2023-11-29,208169.85,661186.3,True,
30,Jennifer Garrett,Singapore,1959-01-02,2020-03-26,HNW,4807998.65,SGD,Discretionary,Conservative,False,70,Mei Lin,False,2021-01-18,351730.49,908373.33,True,
31,Valerie Brown PhD,China,1956-07-08,2018-01-23,VHNW,17359429.23,CNY,Discretionary,Moderate,False,96,Rajan Pillai,True,2018-08-16,1040452.36,4417990.44,True,
32,Lori Collins,Singapore,1982-07-27,2022-12-18,VHNW,21689443.31,SGD,Execution-Only,Moderate,False,36,Mei Lin,True,,1648518.73,4891686.0,True,
33,Eric White,Indonesia,1954-12-10,2022-12-07,HNW,4110699.34,IDR,Advisory,Conservative,False,37,Wei Zhang,False,2023-05-21,214029.53,472362.88,True,
