client_id,full_name,client_tier,transaction_date,amount_usd,cumulative_inflows
1,Carla Ramos,HNW,2025-09-14,135319.18,135319.18
1,Carla Ramos,HNW,2025-09-15,190592.26,325911.44
1,Carla Ramos,HNW,2025-09-21,145507.85,471419.29
1,Carla Ramos,HNW,2025-10-29,148199.37,619618.66
1,Carla Ramos,HNW,2025-11-03,80804.24,700422.9
2,Kevin Martinez,VHNW,2022-11-02,566888.25,566888.25
2,Kevin Martinez,VHNW,2023-02-27,476845.66,1043733.91
2,Kevin Martinez,VHNW,2023-04-27,205393.89,1249127.8
2,Kevin Martinez,VHNW,2023-06-04,333190.75,1582318.55
2,Kevin Martinez,VHNW,2023-07-18,250434.14,1832752.69
2,Kevin Martinez,VHNW,2023-09-25,217850.12,2050602.81
2,Kevin Martinez,VHNW,2023-09-28,249687.98,2300290.79
2,Kevin Martinez,VHNW,2023-12-26,400455.77,2700746.56
2,Kevin Martinez,VHNW,2024-04-12,149370.24,2850116.8
2,Kevin Martinez,VHNW,2024-05-02,336247.71,3186364.51
2,Kevin Martinez,VHNW,2024-06-23,516414.93,3702779.44
2,Kevin Martinez,VHNW,2024-08-29,369518.88,4072298.32
2,Kevin Martinez,VHNW,2024-08-30,155830.97,4228129.29
2,Kevin Martinez,VHNW,2024-09-28,249694.7,4477823.99
2,Kevin Martinez,VHNW,2024-11-25,964249.74,5442073.73
2,Kevin Martinez,VHNW,2024-12-24,181427.38,5623501.11
2,Kevin Martinez,VHNW,2025-01-22,340404.1,5963905.21
2,Kevin Martinez,VHNW,2025-02-27,641218.47,6605123.68
2,Kevin Martinez,VHNW,2025-02-28,904139.55,7509263.23
2,Kevin Martinez,VHNW,2025-08-30,260846.85,7770110.08
3,Levi Juarez,HNW,2019-12-29,88790.41,88790.41
3,Levi Juarez,HNW,2020-09-30,66049.71,154840.12
3,Levi Juarez,HNW,2021-08-05,98202.53,253042.65
3,Levi Juarez,HNW,2021-08-25,120017.81,373060.46
3,Levi Juarez,HNW,2022-06-18,126903.81,499964.27
3,Levi Juarez,HNW,2023-06-13,201089.88,701054.15
3,Levi Juarez,HNW,2024-02-04,115788.42,816842.57
3,Levi Juarez,HNW,2024-10-26,81033.89,897876.46
3,Levi Juarez,HNW,2025-11-24,121133.28,1019009.74
4,Lacey Morales,VHNW,2022-10-26,840341.73,840341.73
4,Lacey Morales,VHNW,2023-02-22,570384.44,1410726.17
4,Lacey Morales,VHNW,2023-03-03,1960233.17,3370959.34
4,Lacey Morales,VHNW,2023-08-24,2641526.52,6012485.86
4,Lacey Morales,VHNW,2024-01-04,2181127.75,8193613.61
4,Lacey Morales,VHNW,2024-05-20,2392913.17,10586526.78
4,Lacey Morales,VHNW,2024-06-22,2848240.87,13434767.65
4,Lacey Morales,VHNW,2024-07-14,2445513.26,15880280.91
4,Lacey Morales,VHNW,2024-12-08,1531405.35,17411686.26
4,Lacey Morales,VHNW,2024-12-10,1499387.47,18911073.73
4,Lacey Morales,VHNW,2025-05-30,2205697.64,21116771.37
5,Miss Jennifer Vasquez,HNW,2025-06-06,203848.31,203848.31
5,Miss Jennifer Vasquez,HNW,2025-06-12,167241.64,371089.95
5,Miss Jennifer Vasquez,HNW,2025-09-02,169115.14,540205.09
5,Miss Jennifer Vasquez,HNW,2025-10-25,127122.59,667327.68
5,Miss Jennifer Vasquez,HNW,2025-11-01,188854.65,856182.33
5,Miss Jennifer Vasquez,HNW,2025-11-08,112455.28,968637.61
5,Miss Jennifer Vasquez,HNW,2025-12-23,206626.3,1175263.91
5,Miss Jennifer Vasquez,HNW,2025-12-28,182415.87,1357679.78
6,David Lewis,VHNW,2025-05-12,418612.4,418612.4
6,David Lewis,VHNW,2025-05-25,378790.94,797403.34
6,David Lewis,VHNW,2025-06-08,553385.73,1350789.07
6,David Lewis,VHNW,2025-08-03,169646.54,1520435.61
6,David Lewis,VHNW,2025-08-07,64171.68,1584607.29
6,David Lewis,VHNW,2025-08-11,503454.16,2088061.45
6,David Lewis,VHNW,2025-08-16,478164.13,2566225.58
6,David Lewis,VHNW,2025-09-30,459933.0,3026158.58
6,David Lewis,VHNW,2025-10-08,443907.79,3470066.37
6,David Lewis,VHNW,2025-10-08,384178.19,3854244.56
6,David Lewis,VHNW,2025-10-13,271183.84,4125428.4
6,David Lewis,VHNW,2025-10-17,602695.54,4728123.94
6,David Lewis,VHNW,2025-10-23,408634.16,5136758.1
6,David Lewis,VHNW,2025-10-23,386778.96,5523537.06
6,David Lewis,VHNW,2025-11-07,1190699.96,6714237.02
6,David Lewis,VHNW,2025-11-14,1176746.63,7890983.65
6,David Lewis,VHNW,2025-11-15,121577.28,8012560.93
6,David Lewis,VHNW,2025-11-18,375875.4,8388436.33
6,David Lewis,VHNW,2025-11-23,1041246.65,9429682.98
6,David Lewis,VHNW,2025-11-26,414872.93,9844555.91
6,David Lewis,VHNW,2025-11-28,544922.16,10389478.07
6,David Lewis,VHNW,2025-11-30,339820.61,10729298.68
6,David Lewis,VHNW,2025-12-01,520169.66,11249468.34
6,David Lewis,VHNW,2025-12-11,654197.59,11903665.93
6,David Lewis,VHNW,2025-12-20,951249.43,12854915.36
6,David Lewis,VHNW,2025-12-26,1072003.8,13926919.16
6,David Lewis,VHNW,2025-12-27,841173.37,14768092.53
7,Nathaniel Williams,VHNW,2025-03-20,475792.9,475792.9
7,Nathaniel Williams,VHNW,2025-05-08,394219.98,870012.88
7,Nathaniel Williams,VHNW,2025-05-10,531481.93,1401494.81
7,Nathaniel Williams,VHNW,2025-05-22,80098.37,1481593.18
7,Nathaniel Williams,VHNW,2025-05-23,70706.69,1552299.87
7,Nathaniel Williams,VHNW,2025-06-08,51479.36,1603779.23
7,Nathaniel Williams,VHNW,2025-06-23,193680.98,1797460.21
7,Nathaniel Williams,VHNW,2025-06-25,66994.04,1864454.25
